,x,y,z,cluster
0,5.867498067335642,8.177151880030342,0.0,0
1,5.613699815229969,9.932955265811792,0.0,0
2,7.225084277857703,10.448861938921507,0.0,0
6,6.5119227666953865,9.813429020266614,0.0,0
10,8.800021429840212,8.543235209407513,0.0,0
11,7.953113720266394,8.368976644531578,0.0,0
12,6.108460663453791,8.233439954433162,0.0,0
13,8.339755138056193,8.888149571846016,0.0,0
14,8.883610840456855,9.015898740093084,0.0,0
18,7.034432405163599,9.697367382354333,0.0,0
22,8.248408416963311,8.2829126970205,0.0,0
23,8.953624073629827,9.489034167236586,0.0,0
25,6.4349195942297674,9.974160938180752,0.0,0
33,7.26697254453205,9.87045836320718,0.0,0
35,7.700350037539864,8.341071869387724,0.0,0
38,7.269469547555358,10.983203690973689,0.0,0
41,6.739826357551413,10.116724267832328,0.0,0
46,7.782240051142107,8.55083150601161,0.0,0
47,9.193772680744862,10.267867124771879,0.0,0
51,7.759315156161751,9.12963513108231,0.0,0
59,8.210793409692437,9.622313759787748,0.0,0
64,7.277755137913986,10.768248350266488,0.0,0
66,7.2483129784034706,8.09462266069719,0.0,0
71,7.983010592123247,9.857535527340445,0.0,0
72,6.9151169572539075,8.648123835168608,0.0,0
74,6.158954831030094,8.702086854283483,0.0,0
77,7.829581778043418,8.89779120761757,0.0,0
78,9.682462159024759,9.311574917019355,0.0,0
80,8.818758270713772,11.027688298352778,0.0,0
81,8.856582331625864,9.522040429570326,0.0,0
84,8.814392230865275,11.143106325902709,0.0,0
85,7.8251010710785005,8.418652661123032,0.0,0
88,7.568333855095813,9.324433090070357,0.0,0
96,6.257732344994565,9.496431735567265,0.0,0
100,8.182404213527414,8.169999776999951,0.0,0
102,6.070749493617276,9.8464029873994,0.0,0
103,8.386556404647404,8.825779616789774,0.0,0
106,6.025452324867894,8.306239229660909,0.0,0
108,8.189046959257753,10.590292351586207,0.0,0
111,9.941099030505033,9.223956669241192,0.0,0
116,7.651026730091285,9.73916943225385,0.0,0
117,7.212575637551,8.617371256920025,0.0,0
119,5.717052938053734,8.80772200239937,0.0,0
120,6.974228218665259,9.55896816119871,0.0,0
124,7.727470592889027,9.039188152396108,0.0,0
128,7.380179686934908,8.530768233907269,0.0,0
132,7.452720545096936,9.412410341723735,0.0,0
133,7.144243367235228,8.889174214457862,0.0,0
138,8.601997266021987,8.326588893750793,0.0,0
139,7.5590118208566315,10.540869404833739,0.0,0
140,5.590110356257705,9.911878641702309,0.0,0
144,6.174767409046598,9.2129774475215,0.0,0
152,8.229433043071671,8.763344302428237,0.0,0
154,8.204206924776992,9.31490435703241,0.0,0
156,6.483636661282081,9.310329346540186,0.0,0
159,7.423823808501373,8.678360212342868,0.0,0
161,8.87356881064407,8.78077548399828,0.0,0
163,8.815456625950373,8.763860459061515,0.0,0
164,6.7544505381429225,9.745319331430215,0.0,0
165,7.799246924074256,10.595769524075402,0.0,0
170,7.931948832244169,8.495614797800599,0.0,0
172,7.5781827681898575,9.586292328375526,0.0,0
174,7.620515842091222,9.371448142389962,0.0,0
178,9.40172977531762,9.554223659094546,0.0,0
181,5.801720477129853,8.788728124314357,0.0,0
182,8.293643637409417,8.688941540134298,0.0,0
186,5.69720159958163,9.488590023562113,0.0,0
188,8.288000426413092,10.032990532726476,0.0,0
189,7.248120184081138,8.015368585468202,0.0,0
191,7.18655077254878,10.623323355965127,0.0,0
193,7.686796567666897,8.254406970021336,0.0,0
194,6.360253565274317,8.951396071193424,0.0,0
198,5.2521378122948015,10.855693486474634,0.0,0
202,8.011886362571838,9.659491455164833,0.0,0
209,7.395238695684469,9.144728088087732,0.0,0
211,7.112534777925934,9.433268140022674,0.0,0
212,7.579296949697744,8.767230872016988,0.0,0
220,6.715800445881374,11.406780395532657,0.0,0
222,7.354937801108134,8.772336763290912,0.0,0
228,7.507434725298853,8.124838847025352,0.0,0
229,6.137357459004443,8.287569516754742,0.0,0
233,7.941566442099247,10.170171010692508,0.0,0
240,7.784303143601339,8.430801078890497,0.0,0
242,7.914507323478482,7.6350321744508225,0.0,0
251,8.052923351611067,9.918080168277086,0.0,0
252,7.554011080149956,8.738246708010287,0.0,0
256,7.597087707482666,10.819669848762196,0.0,0
257,7.020466682083281,7.942509706014149,0.0,0
258,6.936273868052836,11.677247889296481,0.0,0
267,6.183596783088461,9.289305810076652,0.0,0
268,8.812804223736242,9.508615543394372,0.0,0
278,7.322521255354309,10.45661816429381,0.0,0
280,7.162513556122373,9.74878714371016,0.0,0
281,6.173573651136039,8.737566209511403,0.0,0
284,7.274232653223459,9.184599908877153,0.0,0
285,8.444136656945194,9.115411393858063,0.0,0
286,7.008466181250357,9.899914743130882,0.0,0
287,5.2780175677390995,8.93474119162427,0.0,0
293,7.7440402118056095,9.38819595000218,0.0,0
294,8.27458019026074,10.191910907457999,0.0,0
295,6.889957514069634,8.462770228668793,0.0,0
299,8.461107851286656,10.042534096815087,0.0,0
303,7.292627739117514,9.877746301460837,0.0,0
306,5.5256873399568915,10.349555051785503,0.0,0
307,6.278772368456181,8.721863816239065,0.0,0
309,8.079252720008304,10.588201055949177,0.0,0
310,5.073374915485944,10.524829732323994,0.0,0
311,6.8922890541860005,8.606342930375176,0.0,0
312,8.322450913026787,9.678191958082412,0.0,0
321,6.658774609335286,8.86341664954886,0.0,0
324,8.813583179532328,10.382551885906597,0.0,0
326,7.897658143586724,8.219547640515174,0.0,0
327,6.653497749103859,8.848928403754208,0.0,0
328,7.754056898645566,8.74810005059284,0.0,0
329,7.829448164576652,9.626271582582962,0.0,0
333,7.2958656500383,10.817327272529395,0.0,0
339,7.325121569678618,10.332907327366833,0.0,0
345,8.616485730375121,10.436749646466055,0.0,0
350,8.652565017703273,9.607717589357934,0.0,0
352,5.054084598651397,10.079009900851357,0.0,0
366,7.571704579979211,10.466172821551103,0.0,0
374,8.736357547811158,8.122920253989244,0.0,0
378,6.657126903265955,7.727562327539484,0.0,0
380,6.875862855955393,9.6970311123271,0.0,0
381,5.480655547793802,9.800608569653651,0.0,0
386,7.057915291811877,11.329980421059497,0.0,0
387,7.466231886434677,10.638918524076141,0.0,0
389,8.002368640248065,10.169173297436705,0.0,0
393,7.287249955494005,7.6209979951176905,0.0,0
394,4.7824672752424275,9.35057259963864,0.0,0
402,7.144105097783366,8.95209685091985,0.0,0
404,9.10561829681764,8.30095868880551,0.0,0
405,7.541073189113597,8.998105761927238,0.0,0
406,8.031274855428077,8.377475219135745,0.0,0
407,7.094764057707059,8.325454111810153,0.0,0
408,8.015583888394765,11.142979948124005,0.0,0
412,6.39692171729725,9.595336101259695,0.0,0
416,7.738309802816242,9.56236852407141,0.0,0
417,7.446369848134654,11.436749535578953,0.0,0
421,6.535527486516892,7.706941410069098,0.0,0
424,9.456209117405448,10.191305744053654,0.0,0
427,5.5095912219786936,10.149651748137678,0.0,0
428,6.655891363459293,8.010925833927223,0.0,0
432,6.354469184321326,10.864033367413178,0.0,0
433,10.026165836708968,9.903861254880807,0.0,0
434,7.148329045156171,8.176260517560383,0.0,0
438,9.036123431273499,9.904656948575996,0.0,0
440,10.529055752187825,7.913194559761166,0.0,0
441,7.571351032328171,8.967153960263557,0.0,0
442,8.076807633079705,11.74579608194536,0.0,0
446,7.197689588343814,9.758363401996942,0.0,0
447,6.876047381187149,8.50538356199059,0.0,0
451,6.029378979372048,10.319740567539885,0.0,0
452,5.327805881905972,8.178004479359865,0.0,0
453,5.521617746813778,7.9844637241817,0.0,0
455,8.061640781913768,8.437369677651784,0.0,0
458,6.341025780175128,9.701047845673658,0.0,0
459,9.492081403791326,10.82670873023158,0.0,0
461,5.726096480008211,10.122722951961855,0.0,0
464,7.144610537616683,11.254631886978462,0.0,0
465,7.157023383559479,10.019030040564575,0.0,0
466,8.35688932809445,9.043980121787932,0.0,0
467,8.31341230253502,9.983845987329586,0.0,0
471,7.828329360245368,7.768648828717495,0.0,0
475,6.8576950333519715,10.30105928981949,0.0,0
478,7.107932975955882,9.782900228309533,0.0,0
482,8.185144740666244,9.513377728246477,0.0,0
484,8.361865982806295,9.089581130711952,0.0,0
487,8.76643118868822,9.30350321074182,0.0,0
488,7.654010841627685,9.608541661735774,0.0,0
491,8.758949927499842,8.375096687999966,0.0,0
495,8.22799869202533,9.81331771641704,0.0,0
496,8.822173991950118,10.762321620521513,0.0,0
497,8.3805738451848,9.997721434731798,0.0,0
499,7.439478971372225,8.842126247391423,0.0,0
504,7.849855424714227,9.960505615177706,0.0,0
505,7.294339842191692,9.794864677450363,0.0,0
508,7.498143734038043,9.29677019315073,0.0,0
510,6.917124385956492,9.038446937418074,0.0,0
511,7.4078387066007965,6.936330829821463,0.0,0
513,6.299508692610024,10.405431702305751,0.0,0
516,7.761340853441264,10.012594100689398,0.0,0
530,6.258170822197859,9.795054772524264,0.0,0
542,7.906519407516465,9.280030298352155,0.0,0
543,7.666402592133092,9.688326755926667,0.0,0
544,6.845489502593503,9.753305707799392,0.0,0
545,7.462705043706143,9.596280779224829,0.0,0
546,7.199932986021993,9.223367557913578,0.0,0
548,7.943106473721276,8.206222084295161,0.0,0
549,9.17061801150707,10.376906958963211,0.0,0
550,8.301259460234487,9.663941225715302,0.0,0
554,8.6287047881864,11.263554341071787,0.0,0
556,9.403530800116986,8.095920989604394,0.0,0
558,8.483854538910604,9.827470889745747,0.0,0
560,8.993341532573062,9.731349104923995,0.0,0
563,6.876264335089809,9.22600968893399,0.0,0
565,8.34361718257347,8.737977304694933,0.0,0
567,6.137534105145197,8.370529863349566,0.0,0
571,6.737252243095484,10.258756043196948,0.0,0
574,8.562581979091485,8.121830104432647,0.0,0
583,8.288270951099074,10.717308034864457,0.0,0
584,7.092761520366411,12.27174212900809,0.0,0
586,7.55018005447912,10.247657443827087,0.0,0
589,6.230076835547712,9.808258981036609,0.0,0
596,8.99558412443202,9.042043878629464,0.0,0
599,6.798585296429635,10.141118273421233,0.0,0
601,8.735763540509481,9.270305257510614,0.0,0
608,5.974639733412724,10.873506229499533,0.0,0
609,7.499852369522471,9.552742844448742,0.0,0
612,7.645628401112976,8.236672534312923,0.0,0
613,6.324774764629154,9.312177414966332,0.0,0
615,5.307010223184612,8.674386261373359,0.0,0
616,5.660203194301357,9.181150529572566,0.0,0
618,6.505189211803362,9.02053654098528,0.0,0
620,6.811700495846251,10.884041302883416,0.0,0
621,9.100888584366245,9.148074112068752,0.0,0
628,7.34011795255491,9.953611255053984,0.0,0
630,6.975041623759567,8.745498569526504,0.0,0
632,8.090742154489607,9.56303700297735,0.0,0
636,5.757792310034541,9.5672454737243,0.0,0
649,7.679972151315388,10.081094862888568,0.0,0
652,8.039351076254427,7.927554187753168,0.0,0
653,8.830532419222731,8.755641346603582,0.0,0
666,7.553033522622914,11.857061051517427,0.0,0
673,5.814825144587097,10.582520392706808,0.0,0
675,8.008997515954228,8.858210631335801,0.0,0
679,7.861940632557882,8.796508559021325,0.0,0
682,6.976465833949504,9.593371595141903,0.0,0
683,8.231847572690446,10.847693186232384,0.0,0
685,8.317930019011502,8.129727053740222,0.0,0
686,7.270558055209255,8.633104122418523,0.0,0
688,6.345261255285186,8.706777786834534,0.0,0
689,7.37044117733507,10.127437003313517,0.0,0
690,6.470337776876818,9.60275985689989,0.0,0
692,7.020378882832865,9.256440634675762,0.0,0
693,7.08282798366225,9.719213310489213,0.0,0
695,5.628039515911944,9.775854429467904,0.0,0
699,5.55451795111377,9.870899985265504,0.0,0
700,9.124956238350814,9.389740783381063,0.0,0
702,6.093822816447005,9.38044447288155,0.0,0
705,10.01367527325689,10.520894533766764,0.0,0
710,7.639447064094307,9.992765901544088,0.0,0
716,5.172096481634161,11.78064755976018,0.0,0
718,7.327400012854258,11.343591250158944,0.0,0
719,6.437531237102052,11.278522265612965,0.0,0
728,8.05333078482792,10.854081073735355,0.0,0
729,7.332552500561108,10.080958360795938,0.0,0
735,6.165275279627693,9.523134378442096,0.0,0
740,7.327421541269232,9.836794804405047,0.0,0
744,8.759721171599494,9.129311482313438,0.0,0
746,8.335949496394617,8.224382627605994,0.0,0
750,7.079786441337632,7.814277469415647,0.0,0
751,6.461068367066655,8.420254759811591,0.0,0
754,8.809962126179027,11.902170099841362,0.0,0
755,7.312942959419803,9.921663312724965,0.0,0
762,7.5963509531288285,8.01979549661592,0.0,0
763,7.402927027731533,9.162177021686484,0.0,0
764,7.513925831502502,10.21349042817773,0.0,0
766,7.3026800411156945,10.595789349327907,0.0,0
768,7.86019770170369,9.217441748468786,0.0,0
770,8.004056305852087,10.536953742792356,0.0,0
773,6.100713556114664,9.290077038478154,0.0,0
781,8.637169090785644,9.694663173571385,0.0,0
783,8.40464989118707,9.344695631145997,0.0,0
788,6.9313170134261535,7.894247337172106,0.0,0
792,7.084129280420368,8.926111160214678,0.0,0
793,6.4825890658140635,8.882641158721292,0.0,0
800,7.069297627517594,9.526023290860465,0.0,0
802,7.331433931302497,10.243415904999068,0.0,0
803,7.090229485467765,8.579197984922303,0.0,0
805,7.4934130989870384,11.008923557354521,0.0,0
806,7.334904528778527,9.639423947973851,0.0,0
810,8.383719686002486,11.168507800793938,0.0,0
813,6.493335870694421,8.848036464943357,0.0,0
819,8.805752628181718,8.409936708629854,0.0,0
820,8.904329574738856,9.135768439801607,0.0,0
824,8.399764620521537,9.256825363424118,0.0,0
825,7.754309955875382,8.99861425146505,0.0,0
826,9.420773371173627,9.170289979744124,0.0,0
827,6.95941728587358,8.592999938064438,0.0,0
830,7.723602612506468,8.686384495116586,0.0,0
831,7.84402130307111,10.290604026088724,0.0,0
