,a,b,c,d,e,f,cluster
0,1.0,0.0,0.0,133.1508614,1.31169276,1620.22177892,zero
1,1.0,0.0,0.0,126.7248614,1.30274497,1609.33482208,zero
2,1.0,0.0,0.0,131.1738614,1.31903101,1568.97843469,zero
3,1.0,0.0,0.0,129.4788614,1.27087816,1695.05528143,zero
4,1.0,0.0,0.0,127.2628614,1.32963668,1647.72023493,zero
5,1.0,0.0,0.0,131.0588614,1.31040314,2027.21136662,zero
6,1.0,0.0,0.0,138.4428614,1.3799056,1918.75047185,zero
7,1.0,0.0,0.0,129.3468614,1.30564601,1547.26372726,zero
8,1.0,0.0,0.0,139.5428614,1.37466149,1871.05593439,zero
9,1.0,0.0,0.0,132.6288614,1.37443436,1884.68045797,zero
10,1.0,0.0,0.0,128.6848614,1.31939425,1624.01155591,zero
11,1.0,0.0,0.0,129.3468614,1.21089933,1635.04409893,zero
12,1.0,0.0,0.0,141.0728614,1.3362162,2180.62914883,zero
13,1.0,0.0,0.0,130.8108614,1.24891175,1627.67135921,zero
14,1.0,0.0,0.0,131.8688614,1.29906355,1677.24740162,zero
15,1.0,0.0,0.0,128.6188614,1.2258792,1517.03921772,zero
16,1.0,0.0,0.0,127.1298614,1.27032101,1739.28312447,zero
17,1.0,0.0,0.0,135.8468614,1.36688949,1640.18658283,zero
18,1.0,0.0,0.0,127.7588614,1.3621881,1549.72096683,zero
19,1.0,0.0,0.0,134.3248614,1.30199634,1785.05823338,zero
20,1.0,0.0,0.0,127.9238614,1.32746906,1560.58174693,zero
21,1.0,0.0,0.0,128.8008614,1.24259837,1519.8470536,zero
22,1.0,0.0,0.0,132.4228614,1.23697413,1655.20500139,zero
23,1.0,0.0,0.0,129.2888614,1.25540818,1590.04207577,zero
24,1.0,0.0,0.0,136.1108614,1.2721217,1819.02008544,zero
25,1.0,0.0,0.0,131.3228614,1.2625071,1662.38695428,zero
26,1.0,0.0,0.0,134.2588614,1.27744906,1655.18687555,zero
27,1.0,0.0,0.0,134.5068614,1.3629774,1745.60012462,zero
28,1.0,0.0,0.0,131.7028614,1.33715462,1855.10493034,zero
29,1.0,0.0,0.0,134.8208614,1.2491434,1623.20696993,zero
30,1.0,0.0,0.0,130.3228614,1.25801767,1679.91193027,zero
31,1.0,0.0,0.0,128.4698614,1.30433057,1668.80498477,zero
32,1.0,0.0,0.0,129.8178614,1.29636731,1791.83553416,zero
33,1.0,0.0,0.0,123.2688614,1.17555899,1647.61918626,zero
34,1.0,0.0,0.0,123.3428614,1.3432221,1700.90002589,zero
35,1.0,0.0,0.0,133.0348614,1.25094805,1718.36727738,zero
36,1.0,0.0,0.0,129.1648614,1.23461166,1630.91695037,zero
37,1.0,0.0,0.0,133.2328614,1.3696479,1747.26385688,zero
38,1.0,0.0,0.0,130.1568614,1.28770643,1668.60099491,zero
39,1.0,0.0,0.0,123.8878614,1.28820481,1664.23940964,zero
40,1.0,0.0,0.0,130.6948614,1.34355699,1685.05622222,zero
41,1.0,0.0,0.0,122.4488614,1.21294021,1618.52700454,zero
42,1.0,0.0,0.0,127.9488614,1.31795585,1595.63213875,zero
43,1.0,0.0,0.0,132.9768614,1.30284839,1628.67982628,zero
44,1.0,0.0,0.0,128.9168614,1.21901707,1648.69601482,zero
